Rank,Movie Name,Release Date,Director,Actor 1,Actor 2,No. of Votes,Rating
94,Full Metal Jacket,1987,Stanley Kubrick, Matthew Modine, R. Lee Ermey,579173,8.27473438733471
95,Inglourious Basterds,2009,Quentin Tarantino, Brad Pitt, Diane Kruger,1062028,8.273247988686226
96,To Kill a Mockingbird,1962,Robert Mulligan, Gregory Peck, John Megna,259646,8.272936239271283
97,Ladri di biciclette,1948,Vittorio De Sica, Lamberto Maggiorani, Enzo Staiola,118829,8.271363939000427
98,The Kid,1921,Charles Chaplin, Charles Chaplin, Edna Purviance,89752,8.269258895178469
99,The Sting,1973,George Roy Hill, Paul Newman, Robert Redford,209340,8.268866567230226
100,Toy Story 3,2010,Lee Unkrich, Tom Hanks, Tim Allen,648005,8.263866484502694
101,Good Will Hunting,1997,Gus Van Sant, Robin Williams, Matt Damon,728326,8.260368464767435
102,Jagten,2012,Thomas Vinterberg, Mads Mikkelsen, Thomas Bo Larsen,225454,8.257778970529872
103,Snatch,2000,Guy Ritchie, Jason Statham, Brad Pitt,691404,8.257047248417914
104,Monty Python and the Holy Grail,1975,Terry Gilliam, Graham Chapman, John Cleese,441441,8.249121819356144
105,Scarface,1983,Brian De Palma, Al Pacino, Michelle Pfeiffer,632928,8.247415612638925
106,Per qualche dollaro in più,1965,Sergio Leone, Clint Eastwood, Lee Van Cleef,193606,8.247181299206089
107,L.A. Confidential,1997,Curtis Hanson, Kevin Spacey, Russell Crowe,475387,8.245162411485337
108,The Apartment,1960,Billy Wilder, Jack Lemmon, Shirley MacLaine,135247,8.244679564667688
109,Metropolis,1927,Fritz Lang, Brigitte Helm, Alfred Abel,135864,8.243598803112462
110,Jodaeiye Nader az Simin,2011,Asghar Farhadi, Payman Maadi, Leila Hatami,185420,8.236438023852966
111,Indiana Jones and the Last Crusade,1989,Steven Spielberg, Harrison Ford, Sean Connery,604701,8.233425502473557
112,Rashômon,1950,Akira Kurosawa, Toshirô Mifune, Machiko Kyô,126474,8.233176414031123
113,Up,2009,Pete Docter, Edward Asner, Jordan Nagai,800995,8.225716802299358
114,All About Eve,1950,Joseph L. Mankiewicz, Bette Davis, Anne Baxter,102069,8.220739175132676
115,Yôjinbô,1961,Akira Kurosawa, Toshirô Mifune, Eijirô Tôno,91697,8.22017463925859
116,Batman Begins,2005,Christopher Nolan, Christian Bale, Michael Caine,1141800,8.218998004671976
117,Some Like It Hot,1959,Billy Wilder, Marilyn Monroe, Tony Curtis,209472,8.217432948561935
118,Unforgiven,1992,Clint Eastwood, Clint Eastwood, Gene Hackman,325763,8.211737071213872
119,Der Untergang,2004,Oliver Hirschbiegel, Bruno Ganz, Alexandra Maria Lara,291981,8.210152932249132
120,The Treasure of the Sierra Madre,1948,John Huston, Humphrey Bogart, Walter Huston,96946,8.209720419467015
121,Die Hard,1988,John McTiernan, Bruce Willis, Alan Rickman,688449,8.206081258433608
122,Heat,1995,Michael Mann, Al Pacino, Robert De Niro,502389,8.20542383186233
123,Raging Bull,1980,Martin Scorsese, Robert De Niro, Cathy Moriarty,275476,8.197126841112683
124,Ikiru,1952,Akira Kurosawa, Takashi Shimura, Nobuo Kaneko,55132,8.19667210401275
125,The Great Escape,1963,John Sturges, Steve McQueen, James Garner,196503,8.193132559761715
126,Babam ve Oglum,2005,Çagan Irmak, Çetin Tekindor, Fikret Kuskan,60539,8.192765733801762
127,Incendies,2010,Denis Villeneuve, Lubna Azabal, Mélissa Désormeaux-Poulin,114048,8.191488167049064
128,Bacheha-Ye aseman,1997,Majid Majidi, Mohammad Amir Naji, Amir Farrokh Hashemian,46693,8.18739681813293
129,The Third Man,1949,Carol Reed, Orson Welles, Joseph Cotten,136877,8.18572658596185
130,Pan's Labyrinth,2006,Guillermo del Toro, Ivana Baquero, Ariadna Gil,548674,8.185653361232486
131,Chinatown,1974,Roman Polanski, Jack Nicholson, Faye Dunaway,254347,8.184107505574486
132,Tonari no Totoro,1988,Hayao Miyazaki, Hitoshi Takagi, Noriko Hidaka,223045,8.176348558511558
133,Ran,1985,Akira Kurosawa, Tatsuya Nakadai, Akira Terao,94792,8.172057627989078
134,Judgment at Nuremberg,1961,Stanley Kramer, Spencer Tracy, Burt Lancaster,58075,8.170409844330454
135,Hauru no ugoku shiro,2004,Hayao Miyazaki, Chieko Baishô, Takuya Kimura,266475,8.170379656640995
136,The Gold Rush,1925,Charles Chaplin, Charles Chaplin, Mack Swain,84627,8.168978217375447
137,El secreto de sus ojos,2009,Juan José Campanella, Ricardo Darín, Soledad Villamil,164277,8.168940522697731
138,"Three Billboards Outside Ebbing, Missouri",2017,Martin McDonagh, Frances McDormand, Woody Harrelson,273837,8.163701676939247
139,The Bridge on the River Kwai,1957,David Lean, William Holden, Alec Guinness,178445,8.161747430337885
140,On the Waterfront,1954,Elia Kazan, Marlon Brando, Karl Malden,122904,8.157796846610443
141,A Beautiful Mind,2001,Ron Howard, Russell Crowe, Ed Harris,733673,8.156927207772835
142,"Lock, Stock and Two Smoking Barrels",1998,Guy Ritchie, Jason Flemyng, Dexter Fletcher,475689,8.156524364150313
143,Casino,1995,Martin Scorsese, Robert De Niro, Sharon Stone,395516,8.153775714917742
144,Det sjunde inseglet,1957,Ingmar Bergman, Max von Sydow, Gunnar Björnstrand,135856,8.15370900449992
145,Inside Out,2015,Pete Docter, Amy Poehler, Bill Hader,496712,8.152958456368278
146,Room,2015,Lenny Abrahamson, Brie Larson, Jacob Tremblay,285814,8.147863044394178
147,Mr. Smith Goes to Washington,1939,Frank Capra, James Stewart, Jean Arthur,93879,8.146593967560287
148,The Elephant Man,1980,David Lynch, Anthony Hopkins, John Hurt,192138,8.145927675160848
149,The Wolf of Wall Street,2013,Martin Scorsese, Leonardo DiCaprio, Jonah Hill,972144,8.142309199713083
150,V for Vendetta,2005,James McTeigue, Hugo Weaving, Natalie Portman,917174,8.140302753213081
151,Warrior,2011,Gavin O'Connor, Tom Hardy, Nick Nolte,388745,8.135287541675732
152,Blade Runner,1982,Ridley Scott, Harrison Ford, Rutger Hauer,597532,8.135129364445511
153,Smultronstället,1957,Ingmar Bergman, Victor Sjöström, Bibi Andersson,79234,8.133869155333597
154,The General,1926,Clyde Bruckman, Buster Keaton, Marion Mack,67791,8.133716195682235
155,Dial M for Murder,1954,Alfred Hitchcock, Ray Milland, Grace Kelly,133546,8.13164164421839
